Name,Address,Longitude,Latitude,ZipCodeId
WOODLAND PARK ZOO,5500 PHINNEY AVE N,-122.3536880788,47.6685322278,1
WOODLAND COFFEE,1417 NW 54TH ST,-122.375756,47.667632,21
WOOD'S,1512 11TH AVE,-122.3178829606,47.6145444542,0
WOOD SHOP BBQ,2513 S JACKSON ST,-122.31599658,47.6064695,19
WONG TUNG SEAFOOD,210 12TH AVE S,-122.316739801,47.6003786813,19
WONDERLAND CAFE LLC,2231 QUEEN ANNE AVE N,-122.3571800156,47.6392888037,7
WONDER COFFEE AND SPORTS BAR,1800 S JACKSON ST E,-122.30841246,47.59966843,19
WOMEN'S UNIVERSITY CLUB,1105 6TH AVE,-122.331860839,47.6078131867,15
WOLF & SPICE LLC,6500 52ND AVE S,-122.26669315,47.54362052,13
WOK'S TERIYAKI,6316 6TH AVE S,-122.3258415036,47.5456192713,2
"WITNESS BAR, LLC",410 BROADWAY E,-122.32063,47.622426,5
WITHSTYLE CATERING,7114 E MARGINAL WAY S,-122.32083358,47.5392371,2
WISE FOOL SPIRITS,826-B NW 49TH ST,-122.36760779,47.66459877,21
WINGDOME WATERFRONT,1201 ALASKAN WAY,-122.34090375,47.60546369,15
WING LUKE ELEMENTARY SCHOOL,3701 S KENYON ST,-122.2849059622,47.5307393293,13
WING DOME ICE CREAM CART,1201 ALASKAN WAY STE 101,-122.34090375,47.60546369,15
WING DOME ARMORY,305 HARRISON ST,-122.3514916488,47.623859538,7
WING DOME,7818 GREENWOOD AVE N,-122.354997904,47.6860894916,1
WINES OF WASHINGTON TASTING RO,1934 POST ALY,-122.3420416839,47.6103553747,15
WINDY CITY PIE,5918 PHINNEY AVE N,-122.3542007146,47.6723030778,1
WILLY'S COFFEE & CAFE & LLC,7135 SPORTSFIELD DR NE,-122.26168141,47.68153196,6
WILLMOTTS GHOST,2100 6TH AVE,-122.33960146,47.61546026,16
WILLIAM SONOMA CALIFORNIA #6181,4619 26TH AVE NE,-122.30009773,47.66231011,17
WILDWOOD MARKET,9214 45TH AVE SW,-122.3900145477,47.5209475359,3
WILDROSE,1021 E PIKE ST,-122.3182978707,47.6139690647,0
WILDFLOUR BAKERY & CAFE,5404 LEARY AVE NW,-122.3823194866,47.6670979742,21
WILD TIGER PIZZA CORPORATION,1620 4TH AVE #4,-122.3377322508,47.611924583,15
WILD SALMON SEAFOOD,1900 W NICKERSON ST,-122.3811576944,47.6555407997,9
WILD MOUNTAIN CAFE,1408 NW 85TH ST,-122.374546648,47.6908377646,4
WILD GINGER RESTAURANT,1401 3RD AVE,-122.3373928793,47.60881795,15
WILD GINGER KITCHEN AT THE MCKENZIE,2202 8TH AVE,-122.339136,47.617305,16
WILD FISH POKE,94 PIKE ST STE A,-122.340360615,47.6088885328,15
WICKED CHOPSTIX,6021 MARTIN LUTHER KING JR WAY S,-122.28649326,47.54730054,13
WICH WAGON,3201 4TH AVE S STE #B,-122.30810111,47.6101723,23
WHY? GROCERY,11449 RAINIER AVE S,-122.221177193,47.4997109282,25
WHOLE FOODS MARKET,1001 BROADWAY,-122.321073,47.611268,0
WHOLE FOODS (SPECIALTY),4755 FAUNTLEROY WAY SW,-122.38175578,47.55992679,10
WHOLE FOODS (MEAT & SEAFOOD),4755 FAUNTLEROY WAY SW,-122.38175578,47.55992679,10
WHOLE FOODS (GROCERY),4755 FAUNTLEROY WAY SW,-122.38175578,47.55992679,10
WHOLE FOODS (DELI),4755 FAUNTLEROY WAY SW,-122.38175578,47.55992679,10
WHOLE FOODS (COFFEE/JUICE),4755 FAUNTLEROY WAY SW,-122.38175578,47.55992679,10
WHOLE FOODS (BAKERY),4755 FAUNTLEROY WAY SW,-122.38175578,47.55992679,10
WHITTIER ELEMENTARY,7501 13TH AVE NW,-122.3734176188,47.6839170863,4
WHITE SWAN PUBLIC HOUSE,1001 FAIRVIEW AVE N,-122.33172694,47.62902129,7
WHITE HORSE TAVERN,1908 POST ALY,-122.34202544,47.61021811,15
WHITE CENTER MINI MARKET,1505 SW ROXBURY ST,-122.3543813772,47.5171400601,18
WHITE CENTER HEIGHTS KITCHEN,10015 6TH AVE SW,-122.3437723444,47.5133368585,26
WHITE CENTER EAGLES,10452 15TH AVE SW,-122.352724028,47.5095695453,26
WHISKY WEST,6451 CALIFORNIA AVE SW,-122.3874768137,47.5450819031,3
WHISKY BAR,2122 2ND AVE #101,-122.34164835,47.6120321441,16
WHERE YA AT,4332 LEARY WAY NW,-122.365226,47.659814,21
"WESTY ROSEVELT, THE",1215 NE 65TH ST,-122.3150226641,47.6756035958,6
WESTWARD,2501 N NORTHLAKE WAY,-122.32879045,47.65172649,1
WESTMAN'S BAGEL & COFFEE,1509 E MADISON ST #A,-122.3121623843,47.6144612214,0
WESTLAKE DELI & GROCERY,2132 WESTLAKE AVE N,-122.3405722931,47.6386498608,7
WESTLAKE CAFE,1101 WESTLAKE AVE N,-122.34126925,47.62912942,7
"WESTIN HOTEL, THE",1900 5TH AVE,-122.3381855585,47.6136886199,15
WESTERLY KITCHEN COMPANY,5700 1ST AVE S,-122.33388,47.55172,2
WEST WOODLAND ELEMENTARY,5601 4TH AVE NW,-122.362246777,47.670599309,21
WEST WING,2329 CALIFORNIA AVE SW,-122.3867178414,47.5821558717,10
"WEST SEATTLE THRIFTWAY , #603",4201 SW MORGAN ST,-122.3865122776,47.5444122235,3
"WEST SEATTLE SWINERY, INC",3207 CALIFORNIA AVE SW,-122.3870038552,47.5755208119,10
WEST SEATTLE SENIOR HIGH,3000 CALIFORNIA AVE SW,-122.3850425334,47.5761047554,10
WEST SEATTLE NURSERY,5275 CALIFORNIA AVE SW,-122.38727,47.55419,3
WEST SEATTLE LITTLE LEAGUE CONCESSIONS @ BAR S PLAYFIELD,6425 SW ADMIRAL WAY,-122.415697944,47.5751242397,10
WEST SEATTLE HALAL MARKET,9405 16TH AVE SW,-122.3553884656,47.5191069842,18
WEST SEATTLE GROUNDS,2141 CALIFORNIA AVE SW,-122.38668449,47.58414451,10
WEST SEATTLE EAGLES #2643,4426 CALIFORNIA AVE SW,-122.386326039,47.5638562321,10
WEST AFRICAN INTERNATIONAL MARKET,5997 RAINIER AVE S,-122.2770043282,47.5475923469,13
WEST 5,4539 CALIFORNIA AVE SW,-122.3869772503,47.5618037354,10
WERO,5210 BALLARD AVE NW,-122.38246376,47.66600516,21
WELCOME ROAD WINERY,3804 CALIFORNIA AVE SW,-122.386565,47.570083,10
WEDGWOOD ELEMENTARY SCHOOL,2720 NE 85TH ST,-122.2971151311,47.6905504573,6
WEDGWOOD BROILER,8230 35TH AVE NE,-122.2901320573,47.6892339377,6
WEDGWOOD ALE HOUSE & CAFE,8515 35TH AVE NE,-122.2910770995,47.6906057709,6
WEDGEWOOD MARKET,6256 35TH AVE NE,-122.2898623464,47.6755751684,6
WEDGEWOOD CHEVRON,7300 35TH AVE NE,-122.2901322239,47.6815540246,6
WEBSTER SCHOOL,3015 NW 68TH ST,-122.3963601156,47.6776974257,4
WAZ JAPANESE RESTAURANT,411 CEDAR ST,-122.3474150219,47.6179484362,16
WAYWARD VEGAN CAFE,801 NE 65TH ST #C,-122.31966663,47.67569106,6
WATSON'S COUNTER,6201 15TH AVE NW,-122.37647565,47.67398295,21
WATERWHEEL LOUNGE,7034 15TH AVE NW,-122.3763221228,47.680580809,4
WATERTOWN,4242 ROOSEVELT WAY NE,-122.3174246303,47.6595446141,17
WATERSHED PUB & KITCHEN,10104 3RD AVE NE,-122.32556421,47.70192016,12
WATERS WINERY,3861 1ST AVE S #E,-122.33470938,47.56715767,23
WATERFRONT DELI MARKET,1300 ALASKAN WAY,-122.339974,47.606394,15
WATARU,2400 NE 65TH ST,-122.3015013372,47.6759515156,6
WASHINGTON MIDDLE SCHOOL,2101 S JACKSON ST,-122.3041497275,47.5979556736,19
WASHINGTON ATHLETIC CLUB,1325 6TH AVE,-122.3336092698,47.6097232314,15
WASABI SUSHI & IZAKAYA,2311 2ND AVE,-122.3459634139,47.6140032216,16
WARWICK HOTEL,401 LENORA ST,-122.3406932327,47.613813696,16
WANNA TERIYAKI & BURGER,1513 SW HOLDEN ST,-122.35467303,47.53344858,18
WANN,2020 2ND AVE,-122.342220814,47.6123837111,16
WANLI SEAFOOD,7762 BEACON AVE S,-122.2884721545,47.5326559832,13
WALRUS & THE CARPENTER,4743 BALLARD AVE NW #1B,-122.3805543319,47.6638995121,21
WALLY'S GROCERY,2129 2ND AVE,-122.34424452,47.61284833,16
WALLINGFORD UNITED METHODIST,2115 N 42ND ST,-122.3335950209,47.657795491,1
WALLINGFORD COMM SENIOR CENTER,4649 SUNNYSIDE AVE N STE 140,-122.331225941,47.6641492085,1
WALLINGFORD CHEVRON,1420 N 45TH ST,-122.3396347789,47.6616120605,1
WALLA WALLA FARMS CAFE,1191 2ND AVE STE #110,-122.33673708,47.60613909,15
WALLA WALLA FARMS,601 UNION ST #2,-122.3321604105,47.6104578778,15
"WALGREENS, #11856",566 DENNY WAY,-122.34549492,47.61883603,7
WALGREENS PHARMACY #06259,9456 16TH AVE SW,-122.354529249,47.5179185597,18
WALGREENS 13087,4468 STONE WAY N,-122.34180729,47.66111695,1
WALGREENS #06890,500 15TH AVE E,-122.3122726129,47.6235380433,14
WALGREENS #06590,1531 BROADWAY,-122.320558,47.614519,0
WALGREENS #06389,8500 15TH AVE NW,-122.3763492149,47.6908833987,4
WALGREENS #06194,222 PIKE ST,-122.3382384212,47.6098675914,15
WALGREENS #05950,4412 RAINIER AVE S,-122.2873919318,47.5636087208,13
WALGREENS #04157,859 NE NORTHGATE WAY,-122.3182492847,47.7081816378,12
WALGREENS #03632,2400 S JACKSON ST,-122.3008032815,47.5996486571,19
WALGREENS #03604,5409 15TH AVE NW,-122.3767670642,47.6682566514,21
WALGREEN'S #03582,14352 LAKE CITY WAY NE,-122.2921932689,47.7335056731,12
WALAALAHA MINI MARKET,8318 RAINIER AVE S,-122.26977479,47.52897378,13
WAKEFIELD BAR,2318 2ND AVE,-122.3460161058,47.6146885203,16
WABI-SABI SUSHI BAR,4909 RAINIER AVE S,-122.28511947,47.55759313,13
W SEATTLE HOTEL,1112 4TH AVE,-122.3333961218,47.6071532648,15
VOXX COFFEE,1200 6TH AVE #150,-122.33201549,47.60909222,15
VOVITO,1100 4TH AVE,-122.3333434118,47.6071058246,15
VOLUNTEER PARK CAFE,1501 17TH AVE E,-122.3101160197,47.6324429183,14
VOILA!,2805 E MADISON ST,-122.2958565078,47.6235089602,14
VOI CA PHE,6105 13TH AVE S,-122.316334201,47.5482177718,2
VIVACE ESPRESSO BAR,530 BROADWAY AVE E,-122.3206867214,47.623492963,5
VIVA MEXICO #2,10601 S 16TH AVE SW,-122.3554091524,47.5083719927,26
VITO'S,927 9TH AVE,-122.3273732996,47.6081694715,11
"VITAL T LEAF DESSERT LLC, DBA LUO SI FEN",514 S KING ST,-122.3270691,47.5984662306,11
VIRGINIA INN,1937 1ST AVE,-122.3427167334,47.6107598904,15
VIOLET,1734 12TH AVE,-122.31662256,47.61731335,0
VINASON,2134 WESTLAKE AVE,-122.33808981,47.61757604,16
VILLAGE SUSHI,5211 UNIVERSITY WAY NE,-122.3132591494,47.6668413855,17
VILLAGE MART,2811 E MADISON ST,-122.2955081587,47.6236160146,14
VILLA ESCONDIDA,2203 1ST AVE,-122.3455779171,47.6125558734,16
VILLA ACADEMY,5001 NE 50TH ST,-122.2734551616,47.6637253627,17
VIEW RIDGE SWIM CLUB,5815 NE 77TH ST,-122.26482849,47.6842595864,6
VIEW RIDGE ELEMENTARY SCHOOL,7047 50TH AVE NE,-122.2761801652,47.6806399385,6
VIETNAM HOUSE,1038 S JACKSON ST #A,-122.3177368658,47.5996164263,11
VIETNAM CAFE & SANDWICH,5701 15TH AVE NW #A,-122.376491,47.67036,21
VIETLICIOUS LLC,1303 MADISON ST,-122.3221248508,47.6102396687,11
VIET WAH,1032 S JACKSON ST,-122.3186536331,47.5994583048,11
VIENTIANE GROCERY,3828 S GRAHAM ST UNIT C,-122.2842486,47.54659201,13
VIENGTHONG LAO RESTAURANT,2820 M L KING JR WAY S,-122.2958142665,47.5776997549,19
VICTROLA COFFEE ROASTERS,310 E PIKE ST,-122.327429815,47.6142447192,0
VICTROLA COFFEE #5,300 PINE ST,-122.33834772,47.61115591,15
VICTROLA COFFEE & ART,411 15TH AVE E,-122.312958553,47.6223806905,14
VICTROLA COFFEE,3215 BEACON AVE S,-122.309302392,47.5745959838,19
VICTROLA CART,515 WESTLAKE AVE N,-122.33059567,47.61769722,7
VICTROLA CAFE,500 BOREN AVE N,-122.33550177,47.62356747,7
VICTORY LOUNGE,433 EASTLAKE AVE E,-122.3293386768,47.6230104132,7
VIA TRIBUNALI,913 E PIKE ST,-122.3198571819,47.6138546217,0
VIA AIRLIFT- NBBJ,223 YALE AVE N,-122.33067679,47.62016593,7
VIA AIRLIFT- F5 TOWER,801 5TH AVE 39TH FLOOR,-122.33101615,47.60521693,11
VIA AIRLIFT @ SWEDISH HEALTH BLDG NOURISH,801 BROADWAY,-122.32145,47.6093,0
VIA AIRLIFT @ SWEDISH BALLARD,5300 TALLMAN AVE NW,-122.37961041,47.66742836,21
VIA AIRLIFT - MACDONALD MILLER,7717 DETROIT AVE SW,-122.33976363,47.53308819,18
VIA AIRLIFT - GILEAD,199 E BLAINE ST,-122.32612851,47.63463913,5
VESSEL WA OPREATIONS LLC B (KC910),1222 S WELLER ST STE A,-122.33376,47.58702,19
VESSEL WA OPERATIONS LLC -BELL (KC784),1222 S WELLER ST STE A,-122.33683416,47.66045532,19
VESSEL WA OPERATIONS LLC - A (KC911),1222 S WELLER ST STE A,-122.33364,47.58703,19
VESSEL WA OPERATIONS LLC - 5350 (KC922),1222 S WELLER ST STE A,-122.33372877,47.58705924,19
VESESL WA OPERATIONS LLC (KC715),1222 S WELLER ST STE A,-122.33882,47.56121,19
VERVE BOWLS,1764 NW 56TH ST,-122.38163847,47.66967323,21
VERMILLION,1508 11TH AVE,-122.3179045687,47.6144126398,0
VERITE COFFEE/ CUPCAKE ROYALE,4556 CALIFORNIA AVE SW,-122.3865578494,47.5612178648,10
VERITE COFFEE,1101 34TH AVE,-122.2895328436,47.6117548764,0
VERACI PIZZA & PASTA,7320 35TH AVE NE,-122.28958229,47.68205521,6
VERACI PIZZA,500 NW MARKET ST,-122.3633671872,47.668867871,21
VERA'S  PIZZA AND BAR,5417 22ND AVE NW,-122.3849132767,47.6683909153,21
VENTURE COFFEE,5819 24TH AVE NW,-122.3878753355,47.6715304708,21
VENDEMMIA,1126 34TH AVE,-122.28899352,47.61243267,0
"VELVET ELK, THE",3605 S MCCLELLAN ST,-122.28805265,47.57816246,19
VEGGIE GRILL,2681 NE UNIVERSITY VILLAGE ST,-122.29824575,47.66283683,17
VEGETABLE BIN,8825 M L KING JR WAY S,-122.2794883358,47.5235488567,13
VEGAN HAVEN,5270 B UNIVERSITY WAY NE,-122.312657,47.668413,17
VARSITY INN RESTAURANT,1801 N 34TH ST,-122.3359868698,47.647878558,1
VARLAMOS PIZZERIA,3617 NE 45TH ST,-122.288413754,47.6609441582,17
VARAMINI RESTAURANTS LLC/GANTRY,904 OCCIDENTAL AVE S,-122.33353,47.59453,23
VARAMINI RESTAURANTS LLC (KC333),904 OCCIDENTAL AVE S,-122.333455,47.594572,23
VAN ASSELT @ AAA,8311 BEACON AVE S,-122.2888694182,47.5291091078,13
VALENTINA'S,5405 LEARY AVE NW,-122.3828285658,47.6668740788,21
VACILANDO,405 15TH AVE E,-122.31285551,47.62216185,14
UZ ZOKA,2901 NE BLAKELEY ST,-122.2970386052,47.6657826834,17
UWAJIMAYA,600 5TH AVE S,-122.3271761779,47.5968200124,11
US JIN CORPORATION,1521 SW 98TH ST A,-122.354805123,47.5153776368,18
US FOODS CHEF'S STORE #583,1901 21ST AVE S,-122.3058248772,47.5860513438,19
US FOODS CHEF'S STORE #562,1155 NW BALLARD WAY,-122.3730183721,47.662766765,21
US FOODS CHEF'S STORE #551,1760 4TH AVE S,-122.3279296555,47.5866953295,23
US FOODS CHEF'S STORE #549,13102 STONE AVE N,-122.3412285617,47.7246201425,22
URL,524 BROADWAY,-122.32054505,47.60682597,0
URBANE CAFE,1635 8TH AVE,-122.3336829356,47.613330891,15
URBAN SUSHI KITCHEN,2001 8TH AVE STE 105C,-122.3371161,47.61575666,16
URBAN LUXE CAFE,6105 ROOSEVELT WAY NE,-122.31774155,47.67294361,6
URBAN GYRO,230 FAIRVIEW AVE N,-122.33399685,47.62045669,7
"URBAN FAMILY BREWING CO, LLC",1103 NW 52ND ST,-122.37099685,47.66620086,21
URBAN DINNER MARKET,5201 UNIVERSITY WAY NE,-122.3134754005,47.6667327996,17
URBAN COFFEE HOUSE,1900 4TH AVE,-122.33880193,47.61262536,15
URBAN BAKERY,7850 E GREENLAKE DR N,-122.3361133587,47.6855680663,1
UPTOWN HOPHOUSE,219 1ST AVE N STE 101,-122.35573,47.62043,7
UPTOWN ESPRESSO,2801 ALASKAN WAY,-122.3556621001,47.6147229423,16
UPTOWN CHINA,200 QUEEN ANNE AVE N,-122.3564969943,47.6199597519,7
UPPER CRUST CATERING,8420 GREENWOOD AVE N,-122.354951,47.690449,1
UNIVERSITY VILLAGE 76,5100 25TH AVE NE,-122.30016158,47.66674073,17
UNIVERSITY TERIYAKI & BAKERY,4108 UNIVERSITY WAY NE,-122.3129060557,47.6571865305,17
UNIVERSITY SILVER CLOUD INN,5036 25TH AVE NE,-122.2995281491,47.665858876,17
UNIVERSITY PRESBYTERIAN CHURCH,4540 15TH AVE NE,-122.3116382801,47.6626033987,17
UNIVERSITY PREP ACADEMY,8000 25TH AVE NE,-122.3003903918,47.6869831111,6
UNIVERSITY PREP - CONCESSION STAND,8000 25TH AVE NE,-122.30039039,47.68698311,6
UNIVERSITY INN,4140 ROOSEVELT WAY NE,-122.31746805,47.65778911,17
UNIVERSITY CLUB,1004 BOREN AVE,-122.3249817271,47.6097034337,11
UNIVERSITY CHEVRON,4359 ROOSEVELT WAY NE,-122.3180345001,47.661063946,17
UNIV. CHRIST. UNION WOMEN,4554 16TH AVE NE,-122.310512871,47.6628273399,17
UNION STORE,8131 RAINIER AVE S,-122.2702313364,47.5301683638,13
UNION STATION MARKET,509 S JACKSON ST,-122.3271668,47.59899967,11
UNION SALOON,3645 WALLINGFORD AVE N,-122.33667294,47.65183731,1
UNION N,8824 RENTON AVE S UNIT B,-122.27619978,47.52352854,13
UNION MARKET,996 21ST AVE,-122.3047380278,47.6125920222,0
UNION DELI,1325 4TH AVE,-122.3357639898,47.6086616708,15
UNION COFFEE,2407 E UNION ST STE B,-122.301004,47.612731,0
UNION CAFE @ AMAZON,501 FAIRVIEW AVE N,-122.3345689,47.62333729,7
UNION,1009 E UNION ST STE C,-122.31891,47.6127,0
UNIFIED BREWING CO.,9832 14TH AVE SW,-122.35240765,47.51435102,18
UNICORN BAR & RESTAURANT,1118 E PIKE ST,-122.31757218,47.61429499,0
